                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.49738,                0.30747,                0.85363,                0.99944,                      1,                  0.995,                0.90752,                0.42567,                 0.2648,                0.83588,              0.0012819,              0.0012819,              0.0012819
                     72,                0.46819,                0.29426,                0.84426,                0.99962,                      1,                  0.995,                0.91637,                0.41167,                0.24983,                0.83723,              0.0012764,              0.0012764,              0.0012764
                     73,                0.46876,                0.29328,                0.84788,                0.99948,                      1,                  0.995,                0.91487,                 0.4322,                0.26057,                0.84146,              0.0012709,              0.0012709,              0.0012709
                     74,                0.49656,                0.30137,                0.85008,                0.99957,                      1,                  0.995,                0.91583,                0.41847,                0.25745,                0.83952,              0.0012654,              0.0012654,              0.0012654
                     75,                0.49815,                0.30879,                0.84733,                0.99953,                      1,                  0.995,                0.91742,                0.41693,                0.25225,                0.83517,              0.0012599,              0.0012599,              0.0012599
                     76,                0.49515,                0.29829,                0.85688,                 0.9996,                      1,                  0.995,                0.90986,                0.46712,                0.27649,                0.85159,              0.0012544,              0.0012544,              0.0012544
                     77,                0.48688,                0.30388,                 0.8451,                0.99952,                      1,                  0.995,                0.91255,                 0.4293,                0.25884,                0.84346,              0.0012489,              0.0012489,              0.0012489
                     78,                0.48391,                0.30268,                0.84013,                0.99956,                      1,                  0.995,                0.91217,                0.43654,                0.26922,                0.84891,              0.0012434,              0.0012434,              0.0012434
                     79,                0.47217,                0.29516,                0.84839,                0.99951,                      1,                  0.995,                0.91918,                 0.4268,                0.25699,                0.83917,              0.0012379,              0.0012379,              0.0012379
                     80,                0.48147,                0.29795,                0.85332,                0.99964,                      1,                  0.995,                0.91427,                0.43693,                0.25087,                0.83952,              0.0012324,              0.0012324,              0.0012324
                     81,                0.47343,                0.28937,                0.83808,                0.99949,                      1,                  0.995,                0.92439,                 0.3975,                0.23353,                0.83136,              0.0012269,              0.0012269,              0.0012269
                     82,                0.46451,                0.28821,                 0.8412,                0.99943,                      1,                  0.995,                0.92075,                0.42585,                0.24586,                0.83794,              0.0012214,              0.0012214,              0.0012214
                     83,                0.47985,                0.29649,                0.83528,                0.99958,                      1,                  0.995,                0.92823,                0.40111,                0.23583,                 0.8311,              0.0012159,              0.0012159,              0.0012159
                     84,                0.48681,                0.29866,                 0.8509,                0.99948,                      1,                  0.995,                0.92222,                0.42262,                0.24229,                0.83573,              0.0012104,              0.0012104,              0.0012104
                     85,                0.48919,                0.29939,                0.85867,                0.99964,                      1,                  0.995,                0.92416,                0.40678,                0.23908,                0.83393,              0.0012049,              0.0012049,              0.0012049
                     86,                0.49134,                0.29529,                 0.8465,                0.99958,                      1,                  0.995,                0.92604,                0.40698,                0.24126,                0.83118,              0.0011994,              0.0011994,              0.0011994
                     87,                0.47837,                0.28918,                0.84229,                0.99967,                      1,                  0.995,                0.92022,                0.43409,                0.25551,                0.84347,              0.0011939,              0.0011939,              0.0011939
